0,1,2,3,4,5,6,7,8,9
4.025601,-4.0074425,1.3700799,-3.3689823,3.617038,0.14158711,2.6101966,5.6410065,-1.794823,-1.7937837
7.0996575,-4.6729183,4.010547,-4.076104,4.797987,-1.545292,5.581658,8.919062,-3.7415388,-4.0540876
5.54179,-3.3741953,2.9678977,-3.347088,3.7915576,-1.1719832,3.7688196,6.544464,-3.00795,-2.8201694
6.827253,-6.165172,0.3291631,-6.0262704,5.640201,1.7660592,2.4894297,7.3528614,-2.6305275,-1.417048
-0.61550355,-7.5970664,-8.417238,-5.694578,4.827494,7.600613,-4.6156235,1.0627897,4.063195,4.9324646
7.4433775,-5.1131616,4.079099,-4.4019985,5.1403646,-1.445739,5.8065386,9.427486,-3.8144248,-4.180648
4.981523,-3.721712,1.5775539,-3.7305534,3.8224354,-0.04987733,2.5823877,5.666068,-2.3595178,-1.8281542
7.2620287,-5.7662745,3.1136389,-4.8416796,5.3479285,-0.54801637,5.305145,9.19526,-3.396885,-3.659405
7.6696296,-5.7741566,3.7140713,-4.851396,5.4843507,-0.97060984,5.8370247,9.708525,-3.7432332,-4.059244
6.498927,-3.9488413,4.8786106,-3.112741,4.1167736,-2.4762332,6.105,8.568235,-3.7514431,-4.456398
7.768028,-6.3934274,3.0303583,-5.3513713,5.8189626,-0.22642957,5.509398,9.762167,-3.504738,-3.7135305
6.8971972,-5.573684,3.0426996,-4.6083665,5.124109,-0.5272079,5.1571794,8.826727,-3.225451,-3.5271478
7.056477,-5.7751136,2.9536936,-4.775094,5.2587914,-0.4016296,5.199926,9.022757,-3.231085,-3.5252025
5.791313,-3.4907336,3.2598865,-3.41546,3.8627949,-1.3981919,4.229282,7.033456,-3.2010698,-3.266153
6.90419,-4.6349716,3.9502852,-3.9775414,4.688881,-1.5051963,5.503799,8.758356,-3.6331024,-3.9884648
6.579456,-4.240382,3.9029803,-3.6988695,4.4115057,-1.6029546,5.2517676,8.300493,-3.5324047,-3.8341885
7.0446115,-4.63392,4.0191836,-4.072734,4.79995,-1.5555648,5.4680743,8.825695,-3.7086453,-3.9588861
5.599276,-3.518732,3.1704292,-3.2595003,3.8240237,-1.3255525,4.1675825,6.885652,-2.9954915,-3.0799975
6.318584,-3.9578598,3.909168,-3.4935803,4.2128034,-1.723616,5.09776,7.975643,-3.4561393,-3.7570627
7.283532,-5.5808077,2.0596285,-5.3787494,5.4745975,0.3096343,3.863008,8.238341,-3.3113062,-2.6074548
5.031972,-3.0913572,2.8778076,-3.0343647,3.5068104,-1.2752341,3.500826,6.0737963,-2.7419791,-2.649163
7.247615,-5.928245,3.0298731,-4.936175,5.4225593,-0.41707116,5.295718,9.183988,-3.3483496,-3.5892825
-0.6651307,-8.086875,-9.015053,-6.089898,5.137434,8.09215,-4.9621673,1.1236612,4.352187,5.2703047
7.0107493,-7.692813,-1.7349944,-7.542618,6.577513,3.8024902,1.2231984,7.3319755,-1.9589292,-0.189783
7.1432548,-5.6348023,3.0195532,-4.775134,5.276184,-0.4556084,5.1530666,9.005234,-3.3139768,-3.5357614
6.5994544,-4.547631,3.5059402,-3.968524,4.5733,-1.188543,5.0095596,8.245269,-3.4028976,-3.610349
6.983497,-5.7256427,3.001016,-4.7240963,5.2225595,-0.48081893,5.1978507,8.942066,-3.2190177,-3.5239224
6.5019937,-5.308122,2.6840775,-4.4089727,4.8823123,-0.3245261,4.718073,8.323345,-2.982571,-3.2710748
7.281112,-5.00378,3.8680124,-4.372301,5.011864,-1.3658177,5.57924,9.123092,-3.7252555,-4.033504
-0.56165516,-7.705125,-8.525546,-5.7756433,4.8970575,7.6627665,-4.7451534,1.0619283,4.064724,5.014205
5.399258,-4.25476,1.3100467,-4.2322083,4.20502,0.31340024,2.6311274,6.057193,-2.4337845,-1.8056153
7.529892,-5.9220653,3.0445447,-5.0840616,5.5349646,-0.4009694,5.2723103,9.30957,-3.5132918,-3.615774
6.120045,-5.313099,2.2839024,-4.3415637,4.781653,0.012788333,4.3265924,7.928094,-2.6899292,-2.973445
5.324383,-3.3654053,2.848929,-3.2321262,3.6956127,-1.127593,3.693772,6.4121776,-2.8332863,-2.7551162
7.4068856,-5.5056314,3.5143971,-4.6772633,5.2419925,-0.8748355,5.5064,9.228144,-3.6047385,-3.8441033
7.443632,-6.0257826,3.0725775,-5.0443563,5.5257044,-0.43443748,5.417266,9.418749,-3.431468,-3.6934571
6.361955,-5.04669,2.7474108,-4.247296,4.721388,-0.43172678,4.6544533,8.079829,-2.9980812,-3.2084773
7.298491,-4.997759,3.9896681,-4.3249187,5.0168242,-1.4158736,5.6592693,9.183429,-3.773789,-4.078004
